Caffe_name,name,Rating,Review
Kopi Kinca,Nietta,4.0,"I've been there twice for the last two or three months ago with my cousin's. They took me there.
And as the first impression, I like the place. It's quite also comfy. It's a good place for hanging out with your friends.

At that time I was ordered their affogato and gelato.

I love it. It was taste so good..

The price also quite affordable to me."
Kopi Kinca,Ami Savitri,4.0,"Located at GF of BTPN Tower, it provides nice place to enjoy your coffee and snack. The misuguru latte (no coffee) tastes quite unique. The croissant tastes crisp (though for cheese one, well, the cheese amount is very small)"
Kopi Kinca,IRV,4.0,"Roomy, bright, large, spacious.

This is good for big groups.

Coffee: the cappuccino is great, i like the foam. Thick and nice.

They serve this soft bread, cheese 🧀 garlic soft pillow bread that is so delicious.

Good place. Good service."
Kopi Kinca,Abby Marcel,5.0,"The place is comfort for breakfast and lunch. The shop is located strategically at Mega Kuningan business complex. Some of the menu are out of stock, but you have to try their Garlic and cheese toast and Misugaru. It's recommended."
Kopi Kinca,Apoorva Goel,5.0,"Walked in for a quick breakfast. The iced latte and waffles were both outstanding!! Loved the walnut waffle and plain waffle with yoghurt and blueberry topping. Nice healthy twist to the usual maple and chocolate syrups. Must try 👍🏼

Only one request to the management. Please don’t use single use plastic cups for dine ins!"
Kopi Kinca,Yakobus Rama,5.0,"It's Cozy, Friendly Price, And Awesome, Especially if there is an Event about KPOP Idol/Group"
Kopi Kinca,cretty c,4.0,"Comfy place to have a chill time or for working, but it's quite pricey and the coffee just taste the same with other cheaper coffee shops"
Kopi Kinca,neutral color (mostly green and yellow),4.0,"Nice place, pretty place for photos, great chocolate latte,

but I'm not so sure about the food..
idk if it's because it was a closed event but the tteokboki was undercooked"
Kopi Kinca,Anisa Asha Sarita,5.0,"The place is good, the atmosphere is cozy, the food and drinks are quite good, I think the price is quite expensive, but it's still affordable. The service is great. There's a smoking area outside."
Kopi Kinca,Erwin Nugraha,5.0,Cozy ambience here. I spent almost 6 hours here to work and  to enjoy the coffee and food.
Kopi Kinca,Aminah Hidayati Dwi Putri,4.0,Went there several times for fan events. It's actually pretty spacey but some events just attracted too many visitors so sometimes it was crowded. They have wide choices of beverages. I once tried their rose latte or something. Loved the honey bread and cakes too.
Kopi Kinca,Daniel Hermansyah,5.0,"Nice place for gathering, always love the ambience :)"
Kopi Kinca,Early IH,5.0,"Cozy place, good food to chill and long talk"
Kopi Kinca,Steven Scott,5.0,"I had the Frapeno Green Tea iced drink, hot green tea latte, and original chocolate latte. All were amazing. Equal if not better than anything I've tasted at Starbucks, and slightly cheaper. I also indulged in the cinnamon honey bread. I would compare this to french toast, minus the egg. Was quite delicious. I'd get it again in a heartbeat."
Kopi Kinca,Katherina Kate,3.0,"Bingsu was great. The toppoki's sauce was tasteless only if they don't add generous amount of mozzarella cheese.
The cafe's temperature is so warm, that i can't stand there any longer when my food is done."
Kopi Kinca,Muhammad Azhari,4.0,First time come here waiting for rain to stop. Ordered spaghetti carbonara and chic chips. The spaghetti was quite salty and there is no smoked beef in it. The choc chip just ok.
Kopi Kinca,frinzy zulkarnain,3.0,"The location is strategic. Good for a stop by before or after office. Coffee is ok. Lack of healthier food option. Full of carb-loaded food such as bagel, waffles, sandwiches."
Kopi Kinca,Eva Fahimah,5.0,"It’s a good place for group or community gathering. Also, I enjoy chatting with friends there. I love the walnut waffle + gelato. You must try it."
Kopi Kinca,Gustav Martono,4.0,"Nicely design, home baked pastry and home roasted coffee

Located in Menara BTPN. They have indoor and outdoor area.

Food is good a bit pricy"
Kopi Kinca,Ias Naibaho (iaszz),4.0,"I love the walnut waffle soooo much!!! One of the best waffle in Jakarta. The gelato is good too, but the variety of the flavor is not so many"
Kopi Kinca,Anindita Ayu,5.0,Comfy place to relax your mind and also a good place for remote-working
Kopi Kinca,robertus yudo sanyoto,4.0,It's a cool place for relax located in btpn building Mega kuningan. Yoy can enjoy many types of blended Coffee.
Kopi Kinca,Cornellia Widiastuti,5.0,"Fast WiFi, good service, comfortable for studying/working/meeting. Came in odd hours so there were not many people. Love it."
Kopi Kinca,Mariana Lim,4.0,Good selection of dessert. The coffee is ok. Place is clean and comfy. The only downside is mosquito
Kopi Kinca,Lilies Lestari,4.0,"Coffee : Good,  Food: Very good"
Kopi Kinca,M C B,4.0,"Nice bagels, and perfect coffee combines. 👍🥯☕"
Kopi Kinca,Aria Wardhana,5.0,Located in menara rajawali building. Has nice atmospher and friendly staff. There are cozy smoking outside.
Kopi Kinca,Lelono Bayu SAPUTRO,4.0,A cozy place to have an afternoon coffee. Not too crowded. A good place to have a meeting with friends or colleagues.
Kopi Kinca,Lettisa D. S. Wardhani,5.0,I didn't know they have Korean pop style inside! So nice
Kopi Kinca,Sonny Toshiro,4.0,"cozy place, unfortunately there's no bing soo, only in Bandung store..."
ein.Caffe,Rafael Stefan,4.0,"“Hidden gem” coffee shop in Cengkareng area that serves customer very well.
Friendly manner, warm atmosphere, helpful and informative staff which explained the menu pretty detailed.
Price affordable.
Tried their aren latte, which came out great.
Cozy cafe, sadly isn’t able for dine-in yet.
Lots of parking area are available around the cafe."
ein.Caffe,Hanny Frensia,4.0,"Like the aren milk coffee boba!! Nice place to hangout, but too small for big group. Add more rice menu plz ;)"
ein.Caffe,Danny Wii,5.0,"Nice place to chit chat, good snack"
ein.Caffe,legiveth,5.0,"Taste ⭐⭐⭐⭐⭐
Price: affordable
Services ⭐⭐⭐⭐⭐
Atmosphere ⭐⭐⭐⭐⭐
Cleanliness ⭐⭐⭐⭐⭐
Parking ⭐⭐⭐⭐⭐
Easy to find: ✅
Indoor: ✅
Outdoor: ✅
Must try (seasonal): Klepon Latte 👍👍"
ein.Caffe,Kevin Navarro,5.0,"Good place, and a very caring barista, they really offer a good hospitality, dont ever hesitate their kindness. One day i come here just to ask the ice cube because one of my friend is on training and get injured. I asked if i can have some of the i ice cube and they gave it to me for free. Appreciate it"
ein.Caffe,K V N,5.0,One of the best spot for your lisure coffee time. Cozy ambience
ein.Caffe,Peter Limarsono,5.0,Had meeting here. Nice cafe. Service is good and fast. Surrounding area is still new and quiet.
ein.Caffe,Alexander S,5.0,Cool Place.. great Coffee.. Chicken Sambal matah also fantastic!
ein.Caffe,Ryan Phedra,5.0,Earl Grey Latte was so good!
ein.Caffe,Jeremy Aprillio,5.0,Good coffee. If you like tea should try their Earl Gray Tea Latte.
ein.Caffe,Sugianto A (Sugi),5.0,"Nice place, good drinks & bites"
ein.Caffe,Agus Santosa,5.0,"Nice place, nice Coffee, nice Tea.... Nice owners and workers too....."
ein.Caffe,Dev B,5.0,"Cozy place, good ambience for chilling after work."
ein.Caffe,Yan Bunawan,4.0,Pet friendly cafe...nice
ein.Caffe,utari dewi,5.0,Nice place to hang out with family or friends.
ein.Caffe,Imade Kurniawan,4.0,Ok
ein.Caffe,leni herlani,5.0,Cozy
ein.Caffe,lika malikkulmuklis,5.0,"Kopi ter enak seantero citra 8 gak ada yg bisa ngalahin pokoknya

Walau tempatnya kecil tapi nyaman

Bakwan sayurnya bestttttt
Pisang cempedaknya mantulllll

Stafnya ramah ramah"
ein.Caffe,Devi Puspitasari,4.0,Tempatnya gak begitu luas tapi nyaman. Pelayanan mbak2nya friendly. Karena cuaca panas jd kita neduh di cafe ini. Cobain nutella croissant nya enak isian nya melimpah. Tp sebenernya makan ginian enaknya pake piring soalnya kalo taro di kantung kertas kayak gini coklat nya pd nempel dikertas syg bgt. Aku Minta ke mbaknya buat kasih tau minuman yg rekomen disini dan dia kasih aku yg crazy rich asian latte pas dicoba emg enak rasanya lebih ke susu dan kopinya ga begitu strong bgt menurutku
ein.Caffe,Lourens,5.0,"Aren latte enak..
bakwan sayur terbaik 👍"
ein.Caffe,Judil Ato,5.0,"pesan latte dan pisang goreng sambil nunggu penjemputan, tempatnya nyaman, kopinya enak, pisang gorengnya pas, dan pelayanannya ramah."
ein.Caffe,Tina Doremi,5.0,"Tempat nongkrong yang nyaman, makanan dan minumannya bervariasi dan enak"
ein.Caffe,Hendry Jonany,5.0,"Cafe kecil tapi nyaman, minuman dan makanan cukup enak harga pantas"
ein.Caffe,Twenty Dionisya,5.0,Tempatnya nyaman buat nongkrong sore hari
ein.Caffe,Tina Wijaya,5.0,"Tempatnya kecil, tapi nyaman
Minumannya enak, staff nya ramah2
Next datang lagi nih."
ein.Caffe,Niki Ferdinan,1.0,"Tidak doggie friendly, pengunjung tendang doggie, pihak caffe lepas tangan, 7 orang saksi mata, ini foto pelaku yang dibiarkan oleh pihak caffee, penilaian terlepas dari kualitas caffe, penilaian hanya pengalaman buruk, NOT RECOMMENDED FOR DOGGIE LOVER"
ein.Caffe,Hery Berthus,4.0,"Lumayan buat ngadem …. Pisang goreng cempedak cukup menarik, sayangnya digoreng terlalu kering"
ein.Caffe,Ed win,5.0,Tongkrongan ketika selesai berolah raga di Citra Garden 8. Utk harga masih ramah di kantong. Dan minuman nya juga boleh lah enak2 juga. Dan pelayanannya ramah.
ein.Caffe,kenly rivanly,5.0,Kopi paling enak sejauh ini. Nyaman untuk penderita gerd seperti saya.
ein.Caffe,Junus Juwana,5.0,"Enak tempatnya untuk duduk2 sore...ice coffee nya enak... cheese cake nya jg enak. Untuk harga reasonable.

Mungkin boleh ditambah lg meja payung nya."
"La Isola Caffe, Dolce & Kitchen",Desty Hotifatruwosa (Desty Dee),5.0,"This is a good place to eat with your family or friends, so many spots with cool decorations you can take pictures in here. The price still adorable and taste good too. Of course, halal food provided here.  various bread and cakes, one of the types of food that I recommend.  if you come with some friends, there is a group menu provided.  the bathroom is quite clean, there is a prayer room too even though it is small, the parking space is not too big, but access is available for people with disabilities."
"La Isola Caffe, Dolce & Kitchen",Just Jennz,4.0,"One of the nice restaurant with tropical cafe style concept with high ceiling. The decorations and color combinations are nice. The table is large and quite comfortable to sit longer.  They have 2 floors, have indoor and outdoor seating also VIP room. There are many range of food variation. I tried Indonesian food called Nasi Daun Jeruk, the rice so fragrance and the Sambal Matah is good. The Pink Juice really recommend, made from fresh Dragon Fruits, Strawberry and Orange, not too sweet, you also can request no added sugar too. They also have bakery and cake station. Next time will be back for cake. I bought some bread from the bakery shop and my family member said the bread all taste delicious. The restroom also clean. Staff are friendly, helpful with bright smile. Price wise consider cheap compare to Jakarta."
"La Isola Caffe, Dolce & Kitchen",SUDAMADJI Joko,4.0,"It is a new place in bogor. The place is really nice and well decorated. They really tought it all to the serving dishes. Everything is well prepared.

We ordered the chips, lontong and thw bbq chicken wings( the whole order costs us 160 k). I personally think than the food could improve, the chicken wings is too sour, and the lontong is also okay only.

And one thing to note is that the love music was too loud. I love live music but it's just too much to handle.

We couldnt even order something without screaming our hearts content.

Nevertheless, of course since this place is still new, they can only grow better, and one more thing, they give us free complimentary cake and nasi kuning, which is nice.

The cake is great as well.

Overall, good job!"
"La Isola Caffe, Dolce & Kitchen",Fernando Zetrialdi,2.0,"Quite a lot of space with 2 floors.  Price 60k-70k per person.  The menu is quite varied, but the taste of the food still needs to be improved.  Many choices of deserts and cakes for meet up snacks."
"La Isola Caffe, Dolce & Kitchen",Mr. R,3.0,"A rather new place in Bogor, so it's almost always packed especially during dinner time. The design is unique and colorful with tropical vibes - kinda reminds me of the hip cafes in Seminyak. They have many selections of food (mostly desserts and pastries) & beverages. The cheesecake is surprisingly good, but the Tiramisu croissant was so tough on the outside."
"La Isola Caffe, Dolce & Kitchen",Putri Mustika,5.0,"Was working in here from 10 AM to perhaps 3 PM and had a good time. The wifi is really good, along with the drink and food. What i ordered:
1. Korean Strawberry Milk
My fav one! So good, you must try. Milky, fresh, a little bit sour from the strawberry.

2. Japanese Chicken Katsu Curry Rice
Really good as well! The chicken and rice are fresh and still hot when served.

3. Cheesy Potato Chips
Not a fan of this, was expecting fresh potato with thin slices but i think this more like potato chips that has been stored for a while, it still crispy though, but more like snack from a potato bag.

4. Bread Banana Crumble
Love this one a lot! Must try. It fills with banana, choco and cheese."
"La Isola Caffe, Dolce & Kitchen",Yon Cahyadi,4.0,"Quite new restaurant at Bogor...
Serving Indonesian and western food.

Taste 8/10
Hospitality 8/10

In rush hour little bit hard to get parking lot.

There are live music but i preferred acoustic music then full band live."
"La Isola Caffe, Dolce & Kitchen",Historina,4.0,"Many staff around actually but they r not really fast responding to the customer. The place is actually nice, but I dont really feel comfortable somehow. They serve finger food to break fasting but not for every person the staff said. Only 2-3 portion per table. Which in my opinion, better dont serve it if not everyone get it.

The food presentation pretty good but the taste well, so so, not spectacular. To just reserve a table (not a private room) we need to give down payment at least 200,000 IDR, which for me not really comfortable. Maybe because its just opened so its packed with curious customer."
"La Isola Caffe, Dolce & Kitchen",Diany Ismidawosa,4.0,"Food delicious the price is worth it with the foods. Any kind of food in this place bread, western food, indonesian food. Nasi jeruk is favorite menus. The place is instragramable, a lot of place can use for taking a picture."
"La Isola Caffe, Dolce & Kitchen",Moses Heryanto - TX TRAVEL Bogor,4.0,"Nice modern 2nd floor restaurant with cafe style, locate in Batutulis street, opposite of Sinar Kasih. They have nice sop buntut and ice coffee with mint named 'Dreams come true'. We tried tiramisu cake & coffee late with taste so so. Price is moderate. There is live music on weekend nite"
"La Isola Caffe, Dolce & Kitchen",Bond Tastebuds,5.0,"La Isola turns out to be a cute restaurant in Jalan Batutulis, Bogor with a lot of plants as part of their decoration. Having a meal in here felt like your eating in an indoor garden.

The place seemed spacious in the photos, however it was quite cramped. There was also a bakery selling all sorts of bread.

We had their Mie Tek Tek , Nasi Jeruk and also Potato Chips. The food were great but the Nasi Jeruk took a tad bit too long to prepare. So if you're that hungry, try to order other things as well.

PS. the made great chips with salty and savory flavor. The mayo managed to up the taste a notch.

- Cheers!

IG: @bondtastebuds

#BondEats #SeketikaLapar"
"La Isola Caffe, Dolce & Kitchen",ViVi Disini,4.0,"Chic cafe, girly and full of beautiful photo spot. Nice place to chit chat. Little mushola, clean toilet. The food and beverages's price are quite pricey but they taste good. The fav is the black burger"
"La Isola Caffe, Dolce & Kitchen",Yudita Herwijayanti,5.0,"Their staff are extremely friendly and helpful. I got complimentary cake!!! Love the ambience and live music, they have a small but clean musolla. Food and beverages are tasty, worth every penny for me. Didn't have any expectation at first but I would love to be a regular cust tbh🥺"
"La Isola Caffe, Dolce & Kitchen",Fadhil Setya Pratanda,4.0,"Mala rice is too greasy (2/10) and coffee composition is not balanced, tasteless when the ice melting (3/10). I hope everything taste better when I come again.

Updated 30/8/21
Very good improvement with the coffee (but better to order less ice for maintaining its taste), tomyum is delicious, tacos are superb."
"La Isola Caffe, Dolce & Kitchen",Halida Budining,3.0,"We arrived at 10 am, and the food was coming at 11 am. We have waited about 1 hrs, since we came with a hungry tummy surely it was unpleasant experiences. Idk they're lack of staffs or simply bad management. But the food itself was pretty good & affordable."
"La Isola Caffe, Dolce & Kitchen",Rizky Ardinsyah,5.0,"Went here a week after grand opening. I love the ambiance. There is also a live music. I love the food. I ordered Aglio Olio Pasta and Biscoff Coffee, omg so delicious. Will go here again for sure."
"La Isola Caffe, Dolce & Kitchen",Andika S. B.,5.0,The food and beverage is delicious and worth the price (not to expensive). The vibes is cozy and there's a live music around 6pm
"La Isola Caffe, Dolce & Kitchen",Jessica Clarita Halim,5.0,"Food & beverages are quite delicious, the place is absolutely pretty cool, and the toilet's very clean. 🤩👍"
"La Isola Caffe, Dolce & Kitchen",djkasdjkasdjdjdj,4.0,"Tropical vibes, but air conditioned which is nice, altho i have to say otherwise about their food, somehow their specialty are always on the western cuisine, but they are never on stock, on the other hand their local cuisine are always on stock but their pempek is, well, not so great tbh, too much flour"
"La Isola Caffe, Dolce & Kitchen",Arin,4.0,"Croffle with iced americano will a perfect mate to spent your coffee at La Isola, the place feel so warm, nice and feel like im the garden"
"La Isola Caffe, Dolce & Kitchen",Nata Kalana,5.0,"Good restaurant, the ambience is very comfortable and also the food are great. You should try"
"La Isola Caffe, Dolce & Kitchen",desi indahwaty,5.0,"Pinky juice are so fresh, the coffee also good. We just ordered beverages after lunch. The place has 2 floor, the air con are very cool, so comfortable ."
"La Isola Caffe, Dolce & Kitchen",catz_ nk,4.0,"Nice restaurant with several cute photo corners..
Delicious nibbles and drinks.."
"La Isola Caffe, Dolce & Kitchen",hanny hanny,5.0,"Nice place to hang out with nice live music , love the ambience"
"La Isola Caffe, Dolce & Kitchen",Aulia Wisuda,4.0,"I went to this restaurant today for the first time.
These were my orders:
Foods:
Fried rice 4/5⭐
Chocolate Cake 3/5⭐
Beverages:
Ice lemongrass ginger tea 4/5⭐
Chocolate ice 3/5⭐
And their Service: 5/5⭐ & they gave a baloon to my daughter, thx u for that.

Overall this is a good resto in Bogor 👍👍👍"
"La Isola Caffe, Dolce & Kitchen",hendy buntoro,5.0,"A nice place to grab a quick bite. I haven't tried their main course, but it looks tempting."
"La Isola Caffe, Dolce & Kitchen",Gunarya Assafa,5.0,"Great vibes, and nice and polite waitress. Good job"
"La Isola Caffe, Dolce & Kitchen",Grace Waruntu,5.0,"Nice place, delicious food, good service and wonderful people... really enjoyed having dinner here... the staff were very helpful to take some pictures and videos for us... the place is beautiful and many Instagramable spots... worthed place to visit... definitely will be back here again... thanks la isola for the wonderful day today"
"La Isola Caffe, Dolce & Kitchen",Sylvia Njotomihardjo,5.0,Lively ambience since they had live music during weekends. Were here for snacks since we ate early dinner somewhere else. Snacks and drinks tasted pretty okay.
"La Isola Caffe, Dolce & Kitchen",Lukman Hakim Mudiantono,5.0,Great taste of foods.. Cool band
Caffe Cerry,Dheyna Hasiholan,5.0,ok
Caffe Cerry,imad muzhaffar,5.0,cozy place for delicious food and drink
Caffe Cerry,Victor Ria,5.0,Nice
Caffe Cerry,Eleanoer Maulidya,5.0,Top top
Caffe Cerry,Mahbubil Anam,5.0,The best
Caffe Cerry,Hilman Hakim,5.0,Good coffee..
Caffe Cerry,Uhuyy ahayy,1.0,"Ternyata harga'y lbh mahal dr warkop, mending agak ke dpn sdkt ke caffe yg sblh Pos Satpol PP, cukup skli aja ke caffe cerry ini ga lagi2 bikin kapok"
Caffe Cerry,JOKO NURWONO,2.0,"Menu cemilan nya kurang lengkap, tidak ada gorengan...kl ada pasti nya lebih Joss lagi"
Caffe Cerry,Agus Nugroho,4.0,Tempat ngopi sekitar andara.
Caffe Cerry,Tugi Yatieyu,5.0,"saya setiap minggu pg dagang srabi di kaffe cerry,  alhamdulillah  laris manis?"
Caffe Cerry,Rino Rino,2.0,"Warkop biasa, cm ada tukang buah nya doang.... itu aja kelebihan nya.... selain itu ga ada"
Caffe Cerry,Rhay Alevender,5.0,"Tempat sangat strategis tepat didepannya jalan tol antasari depok, harga makanan dan minuman sangat terjangkau, ada fasilitas wifi juga, mantap banget, cocok buat teman-teman yang hobi nongkrong positif. Pemilik sangat ramah"
Caffe Cerry,Syamsudin Syamsudin,5.0,Tempat bgus enak samping tol Desari stiap mingu yg mo wik en rame ada PTM tenis mejanya  selon
Caffe Cerry,Chris Indra,4.0,"Cafe kecil di tepi tol Andara. Arah Depok. Mudah buat menepi parkir. Sederhana. Cozy buat sekedar minum kopi, sore hari"
Caffe Cerry,Alvin Arsya,5.0,Cocok untuk santai
Caffe Cerry,Lutvia Daud,5.0,"Jajan pisan molen dsini, bru ngeh ada tempat jajanan seluas bgini. Adem nyaman tempatny"
Caffe Cerry,yorens linkace,4.0,Bersinggah ytk sekedar ngopi melepas ngantuk tanpa harus terjebak harga... Di sini tempatnya. Tepian tol antasari depok
Caffe Cerry,Eko Suhardi,5.0,"Sepanjang jalan depan cafe, setiap minggu pagi, tempat jalan santai dan tempatnya para pejuang rupiah (pedagang). Mantaaaap dah pokonya"
Caffe Cerry,jpoey kmg,4.0,Tempat minum kopi segelas 3 jam.
Caffe Cerry,salwa nurholizah,5.0,babeh nya asikk
Caffe Cerry,CAHAYA IMAN,5.0,Mamtap. Ada toilet nya juga. Tempat mangkal gw tuhh.. Caffe cerry anak muda bangettt.
Caffe Cerry,Tah Yani (Tah),5.0,Tempatnya nyaman bisa parkir ada kelapa muda durian sama nangka
Caffe Cerry,Bagus Utomo,5.0,"Es Kelapa Muda nya manis, air nya banyak mantaab..strategis pinggir tol sultan"
Caffe Cerry,Sutarno O,5.0,"Enak buat istirahat .buat nongkrong .
Buat santai sambil ngopi"
Caffe Cerry,Lizbeth Hapsari,4.0,"Tempat cocok buat kongkow, minum kopi gratis wifi"
Caffe Cerry,Ridwan Iwancell,5.0,Enk buat ngopi smbil nyantai breng ngbrl sama temen
Caffe Cerry,Imawan Agus,5.0,Tempat nya enak apalagi kalau sdh menjelang sore
Caffe Cerry,herwanto herwanto,5.0,kopinya ada banyak macamnya dengan harga setengah dari cafe cafe lainya
Caffe Cerry,syaiful rohim,5.0,Asik tempat nya..
Caffe Cerry,Lauh Mahfud,5.0,Jos
